original,intermediate,back_translated,target_lang,success,category,similarity,original_words,back_words,word_change_pct,orig_punct,back_punct,punct_lost,meaning_status
gore mauled by aquatic mammal,水生哺乳類に襲われたゴア,Goa attacked by aquatic mammals,ja,True,sarcasm,80.0,5,5,0.0,0,0,0,partial_loss
gore mauled by aquatic mammal,जलीय स्तनपायी द्वारा क्षत-विक्षत,mauled by aquatic mammals,hi,True,sarcasm,88.89,5,4,-20.0,0,0,0,preserved
gore mauled by aquatic mammal,sang mutilé par un mammifère aquatique,blood mutilated by an aquatic mammal,fr,True,sarcasm,73.85,5,6,20.0,0,0,0,partial_loss
apple becomes first american company that should have paid trillion dollars in taxes,アップルは、1兆ドルもの税金を支払わなければならなかった最初のアメリカ企業となる,Apple becomes the first American company to have to pay $1 trillion in taxes,ja,True,sarcasm,81.25,13,14,7.69,0,0,0,partial_loss
apple becomes first american company that should have paid trillion dollars in taxes,Apple पहली अमेरिकी कंपनी बन गई है जिसने ट्रिलियन डॉलर टैक्स चुकाया होगा,Apple becomes the first American company to pay trillion dollar tax,hi,True,sarcasm,82.12,13,11,-15.38,0,0,0,partial_loss
apple becomes first american company that should have paid trillion dollars in taxes,Apple devient la première entreprise américaine qui aurait dû payer des milliards de dollars d'impôts,Apple becomes the first American company to have paid billions of dollars in taxes,fr,True,sarcasm,87.95,13,14,7.69,0,0,0,preserved
pep-rally skit rumored to involve cross-dressing principal,女装校長が関与していると噂される激励会寸劇,A pep rally skit rumored to involve a cross-dressing principal,ja,True,sarcasm,95.0,7,10,42.86,2,1,1,preserved
pep-rally skit rumored to involve cross-dressing principal,जोशपूर्ण रैली स्किट में क्रॉस-ड्रेसिंग प्रिंसिपल के शामिल होने की अफवाह थी,Passionate rally skit rumored to involve cross-dressing principal,hi,True,sarcasm,91.06,7,8,14.29,2,1,1,preserved
pep-rally skit rumored to involve cross-dressing principal,"Selon les rumeurs, un sketch d'encouragement impliquerait un directeur travesti",Cheer skit rumored to involve cross-dressing principal,fr,True,sarcasm,91.07,7,7,0.0,2,1,1,preserved
outfit just screams police officer,服装は警察官を叫ぶだけです,The outfit just screams police officer.,ja,True,sarcasm,93.15,5,6,20.0,0,0,0,preserved
outfit just screams police officer,la tenue fait juste crier au policier,the outfit just screams police,fr,True,sarcasm,81.25,5,5,0.0,0,0,0,partial_loss
parasites just getting the hang of how host does things,寄生虫は宿主のやり方をちょうど理解しているところだ,Parasites are just figuring out the ways of their hosts.,ja,True,sarcasm,64.86,10,10,0.0,0,0,0,partial_loss
parasites just getting the hang of how host does things,परजीवियों को बस यह समझ में आ जाता है कि मेज़बान काम कैसे करता है,Parasites simply understand how the host works,hi,True,sarcasm,51.49,10,7,-30.0,0,0,0,significant_loss
parasites just getting the hang of how host does things,les parasites comprennent juste comment l'hôte fait les choses,parasites just understand how the host does things,fr,True,sarcasm,74.29,10,8,-20.0,0,0,0,partial_loss
vilsack stays up all night with sick corn plant,ヴィルサックは病気のトウモロコシの植物と一緒に一晩中起きている,Vilsack stays up all night with sick corn plants,ja,True,sarcasm,98.95,9,9,0.0,0,0,0,preserved
vilsack stays up all night with sick corn plant,विल्सैक पूरी रात बीमार मक्के के पौधे के साथ जागता रहता है,Vilsack stays up all night tending sick corn plants,hi,True,sarcasm,89.8,9,9,0.0,0,0,0,preserved
vilsack stays up all night with sick corn plant,Vilsack reste éveillé toute la nuit avec un plant de maïs malade,Vilsack stays up all night with a sick corn plant,fr,True,sarcasm,97.92,9,10,11.11,0,0,0,preserved
justice department calls on ferguson to align level of institutional racism with rest of country,司法省はファーガソン氏に対し、制度上の人種差別のレベルを国内の他の地域と一致させるよう要請,Justice Department urges Ferguson to bring levels of systemic racism in line with other parts of the country,ja,True,sarcasm,72.55,15,18,20.0,0,0,0,partial_loss
justice department calls on ferguson to align level of institutional racism with rest of country,न्याय विभाग ने फर्ग्यूसन से देश के बाकी हिस्सों के साथ संस्थागत नस्लवाद के स्तर को संरेखित करने का आह्वान किया,Justice Department calls on Ferguson to align levels of institutional racism with the rest of the country,hi,True,sarcasm,95.52,15,17,13.33,0,0,0,preserved
justice department calls on ferguson to align level of institutional racism with rest of country,Le ministère de la Justice demande à Ferguson d'aligner le niveau de racisme institutionnel sur celui du reste du pays,Justice Department calls on Ferguson to bring level of institutional racism in line with rest of country,fr,True,sarcasm,93.0,15,17,13.33,0,0,0,preserved
man has mosquito on the run,男は蚊を飼っています,the man keeps a mosquito,ja,True,sarcasm,54.9,6,5,-16.67,0,0,0,significant_loss
man has mosquito on the run,आदमी के पास भागता हुआ मच्छर है,a mosquito running away from a man,hi,True,sarcasm,45.9,6,7,16.67,0,0,0,significant_loss
man has mosquito on the run,l'homme a un moustique en fuite,man has a mosquito on the run,fr,True,sarcasm,96.43,6,7,16.67,0,0,0,preserved
lone house with no halloween decorations by far spookiest in neighborhood,ハロウィーンの装飾のない一軒家は近所で最も不気味だ,A house without Halloween decorations is the creepiest in the neighborhood.,ja,True,sarcasm,78.38,11,11,0.0,0,0,0,partial_loss
lone house with no halloween decorations by far spookiest in neighborhood,"पड़ोस में अब तक का सबसे डरावना घर, जिसमें कोई हेलोवीन सजावट नहीं है",The scariest house ever in the neighborhood with no Halloween decorations,hi,True,sarcasm,50.68,11,11,0.0,0,0,0,significant_loss
lone house with no halloween decorations by far spookiest in neighborhood,maison isolée sans décorations d'Halloween et de loin la plus effrayante du quartier,isolated house without Halloween decorations and by far the scariest in the neighborhood,fr,True,sarcasm,80.75,11,13,18.18,0,0,0,partial_loss
area teen receives $2 from grandma,地域の十代がおばあちゃんから2ドルを受け取る,Local teen receives $2 from grandma,ja,True,sarcasm,89.86,6,6,0.0,0,0,0,preserved
area teen receives $2 from grandma,क्षेत्र के किशोर को दादी से $2 मिलते हैं,Area teen gets $2 from grandmother,hi,True,sarcasm,79.41,6,6,0.0,0,0,0,partial_loss
area teen receives $2 from grandma,un adolescent de la région reçoit 2 $ de grand-mère,local teenager receives $2 from grandma,fr,True,sarcasm,84.93,6,6,0.0,0,0,0,partial_loss
salad suppliers pledge to continue including just enough in bag that some will go bad if you're single,サラダの供給業者は、独身の場合傷む程度の量を袋に詰め続けることを約束する,Salad supplier promises to keep bagging enough food to spoil if single person,ja,True,sarcasm,56.98,18,13,-27.78,1,0,1,significant_loss
salad suppliers pledge to continue including just enough in bag that some will go bad if you're single,सलाद आपूर्तिकर्ता प्रतिज्ञा करते हैं कि वे बैग में इतना ही शामिल करते रहेंगे कि यदि आप अकेले हैं तो कुछ खराब हो जाएगा,Salad suppliers promise they'll include just enough in the bag just in case something goes bad if you're alone.,hi,True,sarcasm,71.36,18,19,5.56,1,2,-1,partial_loss
salad suppliers pledge to continue including just enough in bag that some will go bad if you're single,les fournisseurs de salades s'engagent à continuer d'en inclure juste assez dans leurs sacs pour que certaines se gâtent si vous êtes célibataire,salad purveyors pledge to continue including just enough in their bags so some will go bad if you're single,fr,True,sarcasm,89.0,18,19,5.56,1,1,0,preserved
trump outlines bold vision for nation's next mass protests,トランプ氏、国内の次の大規模抗議活動に向けた大胆なビジョンを概説,Trump outlines bold vision for the country's next major protests,ja,True,sarcasm,85.25,9,10,11.11,1,1,0,preserved
trump outlines bold vision for nation's next mass protests,ट्रम्प ने देश के अगले जन विरोध प्रदर्शन के लिए साहसिक दृष्टिकोण की रूपरेखा तैयार की,Trump outlines bold approach to the country's next mass protests,hi,True,sarcasm,72.13,9,10,11.11,1,1,0,partial_loss
trump outlines bold vision for nation's next mass protests,Trump présente une vision audacieuse pour les prochaines manifestations de masse dans le pays,Trump outlines bold vision for upcoming mass protests across the country,fr,True,sarcasm,70.77,9,11,22.22,1,0,1,partial_loss
thousands of students forced to attend iowa state after university sets acceptance rate to 140%,大学が合格率を140%に設定したため、数千人の学生がアイオワ州への進学を余儀なくされる,Thousands of students will be forced to attend Iowa State as university sets acceptance rate at 140%,ja,True,sarcasm,92.31,15,17,13.33,0,0,0,preserved
thousands of students forced to attend iowa state after university sets acceptance rate to 140%,विश्वविद्यालय द्वारा स्वीकृति दर 140% निर्धारित करने के बाद हजारों छात्रों को आयोवा राज्य में भाग लेने के लिए मजबूर होना पड़ा,Thousands of students forced to attend Iowa State after university set acceptance rate at 140%,hi,True,sarcasm,98.41,15,15,0.0,0,0,0,preserved
